Итерация	Значение_функции
795	41212844670.87833
796	39951810221.42089
797	37004393879.14823
798	36947235223.02611
799	36688698571.96078
800	35887843106.304955
801	36418667407.035484
802	35618450582.514244
803	34028406710.31232
804	36214017916.50472
805	34030710111.624004
806	33396089339.076855
807	32847980214.926075
808	31351897997.632504
809	30647759623.065002
810	32524729775.48166
811	30756537762.9942
812	29807016643.946888
813	31030106507.710304
814	31156100773.1208
815	30410916831.575603
816	29428656737.221054
817	29174311606.39919
818	28899661885.64116
819	30242029174.272285
820	28516445216.11786
821	26520748464.744205
822	24742903268.257515
823	25086977115.833252
824	26067247451.0467
825	26278364341.925255
826	25709423345.45743
827	24175531826.044537
828	21746461421.680374
829	20218447274.766373
830	20288470550.95131
831	19236720793.32966
832	20144683859.222103
833	19504480588.1297
834	18860264454.44554
835	18952145296.66227
836	19458287402.0143
837	19119468991.37937
838	18721241435.85866
839	17339386613.782143
840	17060854586.96282
841	16560241966.245193
842	17179739799.725798
843	16314328013.724075
844	16416774013.640406
845	14888848646.087486
846	15247294396.094942
847	15574914964.266258
848	15132298798.985294
849	14156152811.617014
850	14090309003.354898
851	14257712368.797203
852	13814040142.532623
853	14617077229.307798
854	14661673988.860067
855	13468382432.699665
856	13927314880.35476
857	13474864757.224182
858	13227185143.121944
859	13901546456.371372
860	13891889835.453596
861	13037819798.54654
862	13703458753.443373
863	12702393250.93123
864	12730756098.724434
865	13209502941.453037
866	12856491980.692497
867	13370949043.599745
868	13040580000.771523
869	12710030293.482546
870	12978833164.917578
871	12860686461.798727
872	12783396104.944607
873	12696983573.786097
874	12736896665.635387
875	12975074172.972534
876	12369916864.695902
877	12327304645.328918
878	12320585221.366516
879	12123616032.834118
880	11999500940.596497
881	12559867853.83747
882	12634121547.3342
883	11982001163.14186
884	11712782893.376894
885	12204521807.88288
886	11584034452.238218
887	11540431851.771887
888	11397597013.010668
889	11620414345.57105
890	11289441285.656202
891	11637064838.680422
892	11080347288.585142
893	10918752004.00693
894	10657300100.066135
895	10840908187.300543
896	10189237494.160028
897	9717312409.175953
898	10035767196.044462
899	9375378112.232159
900	8977991504.553764
901	9017806466.533508
902	8775445394.191372
903	8805429209.447935
904	9331439610.225801
905	8476410821.331668
906	8207612460.8251095
907	8619860286.39018
908	8178808419.221634
909	8643227939.380877
910	7988679007.244386
911	7744335025.439991
912	7171622116.634758
913	6913913938.754123
914	6794304589.010762
915	7054995026.5157
916	6387168016.685242
917	5912504166.55007
918	5831234311.472462
919	5870215483.611349
920	6268729722.635977
921	6223073308.8694105
922	6389449722.831641
923	6015692629.437667
924	6050702044.06855
925	5551705959.018222
926	5485800417.730054
927	6082139285.900003
928	5072735583.553464
929	5524931890.730196
930	5405500032.385881
931	5399943893.109772
932	4991618049.856295
933	5300561689.502153
934	4946434647.141932
935	5066795780.068721
936	4968027272.385301
937	4996120979.765053
938	5080269378.266332
939	5130003698.816892
940	4846969206.423629
941	4872111270.676529
942	4837068518.285461
943	4755464216.567573
944	4721012538.488185
945	4876837299.215651
946	4750468096.461454
947	4634133821.263605
948	4631709161.426738
949	4804893484.529988
950	4592540056.436999
951	4551555091.128967
952	4341875621.934572
953	4704929016.5307
954	4033510523.3980055
955	3873387858.7793593
956	3948739716.658151
957	3554904888.8225236
958	3513829464.6583676
959	3381841432.39066
960	3203241974.268012
961	3610330473.7427883
962	3132090317.9914427
963	2990889010.3903337
964	3260837879.2362466
965	2601633835.4372954
966	2370212383.097336
967	2342166981.186352
968	2293837680.3714952
969	2172373234.307485
970	2252609894.6042223
971	2223913966.6815205
972	2197360757.6156435
973	2166311586.9170723
974	2001969286.5078776
975	1580225237.1014466
976	1523985591.6733773
977	1230092875.523665
978	1351833980.9316833
979	1319408474.487905
980	1047442071.4466271
981	1014433403.6002619
982	1126084627.4717946
983	1112216176.673037
984	1287547564.1297202
985	1002141492.6206542
986	1184284693.3640754
987	932029757.0851823
988	1195231341.299994
989	1147122380.653113
990	883528607.0972242
991	1050471422.6784458
992	1035710909.0332897
993	907726298.6565114
994	874512075.5927165
995	867997113.3761117
996	1028655260.8241352
997	640116682.4628264
998	755129650.4399874
999	693859831.8679894
1000	640116682.4628264
1001	336007413.20435345
1002	643193357.8144156
1003	214124080.65156806
1004	659395314.3912996
1005	104022727.99045071
1006	445109168.2072594
1007	240.4032788884499
1008	16805479.225983076
1009	2971926.6422840115
1010	4522632.068420537
1011	93.20464355749746
1012	81.63982354184023
1013	83.43122412996013
1014	94.54878707557812
1015	96.15667291669087
1016	863725.485533048
1017	97.65281643146545
1018	37019.98966612343
1019	199386.5280374227
1020	98.20982240861926
1021	24824266.104127146
1022	88.53126004408035
1023	87.85449461738993
1024	89.18372793746812
1025	87.26085241464295
1026	94.83622852944814
1027	85.35835662047143
1028	90.29523469509391
1029	87.30245859161346
1030	29605292.216904342
1031	85.26046402008734
1032	91.92078341871184
1033	88.70875052918895
1034	87.40155829755854
1035	91.35767815958422
1036	242483598.34189144
1037	99819171.10940684
1038	438705099.0186557
1039	2237579.6762795337
1040	113762767.29992287
1041	88.60884137141733
1042	86.702860515447
1043	80.96426226693707
1044	68.06467004464831
1045	80.71859083177816
1046	92.31234010444072
1047	70.76977778059477
1048	30543138.40206902
1049	81.39364771179993
1050	67.02958169675344
1051	84.24889351481526
1052	79.447830739364
1053	110875109.16349876
1054	72.83091972359429
1055	65.45492038529424
1056	53.68054343578682
1057	68.35226493695609
1058	56.823307416661564
1059	87.57584902306323
1060	52.66632578541659
1061	34.83660192544663
1062	14.79801076490603
1063	14.087594746204251
1064	8.87457069740629
1065	24.083539951224093
1066	14.421248643102249
1067	39.98487253948555
1068	5.348968362347986
1069	6.727369980557788
1070	4.443488924977293
1071	21.492857177369842
1072	50.271144479069186
1073	4.1534863577744225
1074	18.170557184889667
1075	381888472.1790411
1076	44.292255492217876
1077	23.74490452533726
1078	49.891852508220666
1079	69.98354992468866
1080	21.27654020093491
1081	45.28488906055923
1082	73.53454783412293
1083	21.051180501344763
1084	95.13683556778503
1085	65.138061329783
1086	52495714.67484935
1087	64.57116498740018
1088	14.915311594360393
1089	27.939899797643637
1090	31.189046734189397
1091	74.95973916695365
1092	19.74701424159408
1093	29.647606573942245
1094	23.961841447898642
1095	152203442.25838694
1096	81.19331972652405
1097	8231595.821022035
1098	7.710667742646499
1099	7.539626024600723
1100	38.19890423059051
1101	22.714450813549053
1102	55.68078654608789
1103	16.426396500149934
1104	38.88763014112716
1105	20.743039692080377
1106	18.08299841655107
1107	19.584169480447677
1108	31.084221509448827
1109	50.71160158698035
1110	32.170489569081624
1111	28.79466857390999
1112	40.770451931302055
1113	5.315357530201754
1114	2.431370510712112
1115	50.6377313160845
1116	18.47854812310827
1117	25.1959545598345
1118	17.519443615272735
1119	23.48243277760572
1120	53.92269139782304
1121	81.46771314140558
1122	80.57477582611384
1123	72.37857023764634
1124	64.23383292793804
